Basil,Downy Mildew,Yellowing leaves with white or grayish mold on undersides.,- Increase air circulation.,- Use a fan to improve airflow.
,,,- Reduce humidity.,- Remove and discard infected plants.
,,,- Remove and destroy infected plants.,
,Powdery Mildew,"White, powdery coating on leaves.",- Increase air circulation.,- Use a fan to improve airflow.
,,,- Reduce humidity.,- Apply a fungicide as directed.
,,,- Apply fungicide.,
,Leaf Spot,"Dark, irregular spots on leaves.",- Remove affected leaves.,- Prune damaged leaves.
,,,- Improve air circulation.,- Increase airflow around the plant.
,,,- Apply fungicide.,- Use fungicide as directed.
Mint,Powdery Mildew,"White, powdery coating on leaves.",- Increase air circulation.,- Use a fan to improve airflow.
,,,- Reduce humidity.,- Apply a fungicide as directed.
,,,- Apply fungicide.,
,Rust,Orange or reddish pustules on leaves.,- Remove affected leaves.,- Prune damaged leaves.
,,,- Improve air circulation.,- Increase airflow around the plant.
,,,- Apply fungicide.,- Use fungicide as directed.
,Leaf Spot,"Dark, irregular spots on leaves.",- Remove affected leaves.,- Prune damaged leaves.
,,,- Improve air circulation.,- Increase airflow around the plant.
,,,- Apply fungicide.,- Use fungicide as directed.
Coriander (Cilantro),Powdery Mildew,"White, powdery coating on leaves.",- Increase air circulation.,- Use a fan to improve airflow.
,,,- Reduce humidity.,- Apply a fungicide as directed.
,,,- Apply fungicide.,
,Leaf Spot,"Dark, irregular spots on leaves.",- Remove affected leaves.,- Prune damaged leaves.
,,,- Improve air circulation.,- Increase airflow around the plant.
,,,- Apply fungicide.,- Use fungicide as directed.
,Downy Mildew,Yellowing leaves with white or grayish mold on undersides.,- Increase air circulation.,- Use a fan to improve airflow.
,,,- Reduce humidity.,- Remove and discard infected plants.
,,,- Remove and destroy infected plants.,
Parsley,Leaf Spot,"Dark, irregular spots on leaves.",- Remove affected leaves.,- Prune damaged leaves.
,,,- Improve air circulation.,- Increase airflow around the plant.
,,,- Apply fungicide.,- Use fungicide as directed.
,Powdery Mildew,"White, powdery coating on leaves.",- Increase air circulation.,- Use a fan to improve airflow.
,,,- Reduce humidity.,- Apply a fungicide as directed.
,,,- Apply fungicide.,
,Root Rot,"Yellowing leaves, mushy roots.",- Improve soil drainage.,"- Repot in fresh, well-draining soil."
,,,- Reduce watering.,- Water less frequently.
,,,- Repot in well-draining soil.,
Rosemary,Powdery Mildew,"White, powdery coating on leaves.",- Increase air circulation.,- Use a fan to improve airflow.
,,,- Reduce humidity.,- Apply a fungicide as directed.
,,,- Apply fungicide.,
