Plant,Problem,Description,Symptoms,Solution,Application Method
Groundnut,Underwatering,Insufficient water supply to groundnut plants.,"Wilting, dry soil, leaf curling, stunted growth.",- Water regularly.,- Water according to plant needs.
,,,,- Check soil moisture.,- Use mulch.
,,,,- Apply mulch to retain moisture.,
,Overwatering,Excessive watering leading to poor drainage.,"Yellowing leaves, waterlogged soil, root rot.",- Improve drainage.,- Adjust watering practices and improve drainage.
,,,,- Reduce watering frequency.,
,,,,- Ensure soil aeration.,
,Heat Stress,Exposure to high temperatures affecting groundnut growth.,"Leaf scorch, sunburn, stunted growth.",- Provide shade or use shade cloths.,- Use shade cloths and adjust watering.
,,,,- Ensure consistent watering.,
,,,,- Improve air circulation.,
,Cold Stress,Exposure to low temperatures affecting groundnut plants.,"Leaf curling, blackened edges, stunted growth.",- Use row covers.,- Protect plants with row covers and manage planting times.
,,,,- Avoid late planting.,
,,,,- Improve soil insulation.,
,Soil pH Imbalance,Soil pH outside optimal range for groundnut.,"Yellowing leaves, poor growth, nutrient deficiencies.",- Test soil pH.,- Adjust pH with lime or sulfur.
,,,,- Amend soil with lime or sulfur.,- Apply appropriate fertilizers.
,,,,- Use pH-specific fertilizers.,
,Nutrient Deficiency,Lack of essential nutrients in soil for groundnut.,"Yellowing leaves, poor growth, leaf drop.",- Conduct soil test.,- Apply fertilizers based on soil test.
,,,,- Apply balanced or specific nutrient fertilizers.,- Use compost.
,,,,- Improve soil fertility with compost.,
,Nutrient Excess,Excess of nutrients causing groundnut issues.,"Leaf burn, poor growth, nutrient imbalances.",- Flush soil with water.,- Flush soil and modify fertilization practices.
,,,,- Adjust fertilization practices.,
,,,,- Test soil regularly.,
,Poor Air Circulation,Inadequate airflow around groundnut plants.,"Mold growth, poor plant development, high humidity.",- Space plants adequately.,- Improve spacing and air circulation.
,,,,- Use fans or ventilation.,
,,,,- Avoid overcrowding.,
,Soil Compaction,Dense soil hindering root growth in groundnut.,"Stunted growth, poor root development, water pooling.",- Use soil amendments.,- Amend soil with compost and manage soil handling.
,,,,- Avoid heavy machinery on wet soil.,
,,,,- Use deep tilling if needed.,
,Sunburn,Intense sunlight causing damage to groundnut plants.,"Scorched leaves, bleached spots, reduced yield.",- Provide shade or use shade cloths.,- Use shade cloths and manage watering.
,,,,- Ensure adequate watering.,
,,,,- Adjust planting locations to avoid midday sun.,
,Pest Infestation,Presence of pests affecting groundnut health.,"Damage to leaves, stunted growth, visible pests.",- Apply appropriate insecticides.,- Use insecticides and practice pest management.
,,,,- Use integrated pest management.,
,,,,- Introduce natural predators.,
,Waterlogging,Excessive water causing soil saturation in groundnut fields.,"Root rot, wilting, waterlogged soil.",- Improve soil drainage.,- Enhance drainage and adjust watering.
,,,,- Reduce watering.,
