Plant,Disease/Issue,Symptoms,Solutions,Detailed Solutions
Aloe Vera,Root Rot,"Yellowing leaves, mushy roots.",- Improve soil drainage.,"- Repot in fresh, well-draining soil."
,,,- Reduce watering.,- Water less frequently.
,,,- Repot in well-draining soil.,
,Leaf Scorch,Brown tips and edges on leaves.,- Reduce exposure to direct sunlight.,- Move to a less sunny spot.
,,,- Adjust watering.,- Water consistently but not excessively.
,Mealybugs,"White, cottony masses on leaves.",- Wipe affected areas with alcohol.,- Use a cotton swab dipped in alcohol.
,,,- Apply insecticidal soap.,- Spray with insecticidal soap.
,,,- Use neem oil.,
Echeveria,Powdery Mildew,"White, powdery coating on leaves.",- Increase air circulation.,- Use a fan to improve airflow.
,,,- Reduce humidity.,- Apply a fungicide as directed.
,,,- Apply fungicide.,
,Leaf Drop,Leaves dropping off or becoming soft.,- Adjust watering.,- Water only when soil is dry.
,,,- Ensure proper light.,"- Provide bright, indirect light."
,,,- Avoid overwatering.,
,Aphids,"Small, soft-bodied insects on new growth.",- Wash plant with water.,- Spray with insecticidal soap.
,,,- Apply insecticidal soap.,- Use neem oil to treat infestations.
,,,- Use neem oil.,
Opuntia (Prickly Pear),Cactus Rot,"Soft, mushy spots on cactus pads.",- Improve soil drainage.,- Repot in well-draining soil.
,,,- Reduce watering.,- Water less frequently.
,,,- Remove affected pads.,
,Sunburn,"Scorched, sunburned patches on pads.",- Provide shade or adjust exposure.,- Move to a location with filtered light.
,,,- Ensure proper watering.,- Water as needed.
,Scale Insects,"Small, hard bumps on cactus pads.",- Remove manually.,- Scrape off scales manually.
,,,- Apply insecticidal soap.,- Spray with neem oil.
,,,- Use neem oil.,
Haworthia,Leaf Spots,Brown or black spots on leaves.,- Improve air circulation.,- Ensure good air circulation.
,,,- Adjust watering.,- Water less frequently and adjust based on soil moisture.
,,,- Avoid overhead watering.,
,Root Rot,"Yellowing leaves, mushy roots.","- Repot in fresh, well-draining soil.",- Repot in a soil mix designed for succulents.
,,,- Reduce watering.,- Water only when soil is dry.
,Pest Infestation,Visible pests on leaves or around base of plant.,- Use insecticidal soap.,- Spray with insecticidal soap.
,,,- Apply neem oil.,- Treat with neem oil.
,,,- Remove pests manually.,
Kalanchoe,Leaf Spot,Brown or black spots on leaves.,- Remove affected leaves.,- Prune damaged leaves.
,,,- Improve air circulation.,- Increase airflow between plants.
,,,- Avoid overhead watering.,
,Root Rot,"Yellowing leaves, mushy roots.",- Improve soil drainage.,"- Repot in fresh, well-draining soil."
,,,- Reduce watering.,- Water less frequently.
,,,- Repot in well-draining soil.,
,Mealybugs,"White, cottony masses on leaves.",- Wipe affected areas with alcohol.,- Use a cotton swab dipped in alcohol.
,,,- Apply insecticidal soap.,- Spray with insecticidal soap.
,,,- Use neem oil.,
Snake Plant,Leaf Rot,"Soft, mushy leaves with dark spots.",- Improve soil drainage.,- Repot in fresh soil.
,,,- Reduce watering.,- Water less frequently.
,,,- Repot in well-draining soil.,
,Yellow Leaves,General yellowing of leaves.,- Check for water stress.,- Water when soil is dry.
,,,- Ensure proper light.,"- Provide bright, indirect light."
,,,- Adjust watering schedule.,
,Pest Infestation,Visible pests on leaves and stems.,- Use insecticidal soap.,- Spray with insecticidal soap.
,,,- Apply neem oil.,- Treat with neem oil.
,,,- Remove pests manually.,
Pothos,Root Rot,"Yellowing leaves, mushy roots.",- Improve soil drainage.,"- Repot in fresh, well-draining soil."
,,,- Reduce watering.,- Water less frequently.
,,,- Repot in well-draining soil.,
,Leaf Spots,Dark or discolored spots on leaves.,- Remove affected leaves.,- Prune damaged leaves.
,,,- Increase air circulation.,- Improve airflow around the plant.
,,,- Avoid overhead watering.,
,Pest Infestation,Visible pests on leaves and stems.,- Use insecticidal soap.,- Spray with insecticidal soap.
,,,- Apply neem oil.,- Treat with neem oil.
,,,- Remove pests manually.,
